district,district_record_count,district_rank,performance_score
Jaintia Hills,7,798,0.07
Leh (Ladakh),7,798,0.07
Kotputli-Behror,7,798,0.07
Kanchipuram,7,798,0.07
Bagpat,6,799,0.06
Mohali,6,799,0.06
East Midnapur,6,799,0.06
Eastern West Khasi Hills,6,799,0.06
Hingoli *,6,799,0.06
Balotra,6,799,0.06
Namchi,5,800,0.05
Bengaluru Rural,5,800,0.05
Bally Jagachha,5,800,0.05
Tuticorin,5,800,0.05
Beawar,5,800,0.05
South Dumdum(M),4,801,0.04
Burdwan,4,801,0.04
West Medinipur,4,801,0.04
South 24 Pargana,4,801,0.04
Hooghiy,4,801,0.04
Tiruvarur,3,802,0.03
Manendragarhchirmiribharatpur,3,802,0.03
Udupi *,3,802,0.03
Bokaro *,3,802,0.03
Khawzawl,3,802,0.03
Domjur,3,802,0.03
Nicobars,2,803,0.02
Phalodi,2,803,0.02
Pherzawl,2,803,0.02
Anugal,2,803,0.02
Tiswadi,2,803,0.02
Bandipur,1,804,0.01
Khordha *,1,804,0.01
Mahoba *,1,804,0.01
Poonch,1,804,0.01
Gautam Buddha Nagar *,1,804,0.01
Chandauli *,1,804,0.01
Salumbar,1,804,0.01
Anugul *,1,804,0.01
Akhera,1,804,0.01
Auraiya *,1,804,0.01
?,1,804,0.01
