district,district_record_count,district_rank,performance_score
Medchal Malkajgiri,2,666,0.05
Leh (Ladakh),2,666,0.05
Bokaro *,2,666,0.05
South 24 Pargana,2,666,0.05
Medinipur West,2,666,0.05
Didwana-Kuchaman,2,666,0.05
Bandipur,2,666,0.05
West Medinipur,2,666,0.05
S.A.S Nagar,2,666,0.05
Tuticorin,2,666,0.05
Anugal,2,666,0.05
Ahmednagar,2,666,0.05
Medchal?Malkajgiri,2,666,0.05
Rajauri,2,666,0.05
Hnahthial,1,667,0.02
Beawar,1,667,0.02
Salumbar,1,667,0.02
Bagpat,1,667,0.02
Ranga Reddy,1,667,0.02
Visakhapatanam,1,667,0.02
Balotra,1,667,0.02
Shopian,1,667,0.02
Kendrapara *,1,667,0.02
Jhajjar *,1,667,0.02
East Midnapur,1,667,0.02
North East *,1,667,0.02
Nabarangpur,1,667,0.02
Hooghiy,1,667,0.02
Kushi Nagar,1,667,0.02
Nicobars,1,667,0.02
Namakkal *,1,667,0.02
Hingoli *,1,667,0.02
24 Paraganas South,1,667,0.02
Burdwan,1,667,0.02
Ramanagara,1,667,0.02
Tiruvarur,1,667,0.02
Bardez,1,667,0.02
