district,district_record_count,district_rank,performance_score
South 24 Pargana,13,775,0.16
Hawrah,12,776,0.15
Hooghiy,12,776,0.15
Jaintia Hills,12,776,0.15
Leparada,12,776,0.15
Rajauri,11,777,0.13
Raebareli,10,778,0.12
Bagpat,9,779,0.11
East Midnapur,8,780,0.1
Medchal?Malkajgiri,8,780,0.1
Kanchipuram,7,781,0.09
West Medinipur,7,781,0.09
Leh (Ladakh),6,782,0.07
Anugal,5,783,0.06
Nicobars,3,784,0.04
Jajapur *,3,784,0.04
South Dumdum(M),3,784,0.04
Tuticorin,3,784,0.04
Kangpokpi,3,784,0.04
Baghpat *,2,785,0.02
Tiswadi,2,785,0.02
Hingoli *,2,785,0.02
Poonch,2,785,0.02
Tiruvarur,1,786,0.01
Domjur,1,786,0.01
Dist : Thane,1,786,0.01
Kadiri Road,1,786,0.01
Mohali,1,786,0.01
Chandauli *,1,786,0.01
Naihati Anandabazar,1,786,0.01
Bijapur(Kar),1,786,0.01
Bicholim,1,786,0.01
MedchalâMalkajgiri,1,786,0.01
5Th Cross,1,786,0.01
Udupi *,1,786,0.01
Udham Singh Nagar *,1,786,0.01
Near Dhyana Ashram,1,786,0.01
Near Meera Hospital,1,786,0.01
Chitrakoot *,1,786,0.01
Jyotiba Phule Nagar *,1,786,0.01
Near Uday Nagar Nit Garden,1,786,0.01
Bandipur,1,786,0.01
Near University Thana,1,786,0.01
Bally Jagachha,1,786,0.01
Balianta,1,786,0.01
Bhadrak(R),1,786,0.01
Idpl Colony,1,786,0.01
100000,1,786,0.01
